layer,method,baseline_f1,baseline_precision,baseline_recall,baseline_threshold,enhanced_f1,enhanced_precision,enhanced_recall,enhanced_threshold,improvement_f1,improvement_precision,improvement_recall,improvement_pct
facebook,Adamic-Adar,0.8913787737317149,0.8566329966329966,0.9371794871794872,0.1,0.8980809201896882,0.8441890166028096,0.9608974358974359,0.05,0.00670214645797329,-0.012443980030186985,0.023717948717948745,0.7518853549948454
facebook,CAR-based CN,0.9110835913312693,0.8755054682474037,0.9532051282051281,0.05,0.8913335564833899,0.8318810436051814,0.9608974358974359,0.05,-0.019750034847879405,-0.04362442464222227,0.007692307692307776,-2.167752227526459
facebook,Common Neighbors,0.8967846967846966,0.8530848861283644,0.9532051282051281,0.05,0.88472715100906,0.8226436781609194,0.9608974358974359,0.05,-0.012057545775636669,-0.030441207967444983,0.007692307692307776,-1.3445307237648991
facebook,Preferential Attachment,0.9025030525030526,0.8452380952380952,0.9685897435897436,0.1,0.8841050506896366,0.8032190649543264,0.9839743589743589,0.05,-0.018398001813416,-0.042019030283768855,0.01538461538461533,-2.0385528625472675
leisure,Sorensen Index,0.8241269841269843,0.9124748617395676,0.7581355349157207,0.05,0.8690362269309638,0.8789574898785425,0.862201582387341,0.05,0.044909242803979565,-0.0335173718610251,0.1040660474716203,5.449311048357869
leisure,Adamic-Adar,0.7897925063442306,0.8313578062804069,0.7581355349157207,0.05,0.8661670304794244,0.8743421052631579,0.862201582387341,0.05,0.07637452413519386,0.042984298982751024,0.1040660474716203,9.670201161953779
leisure,Resource Allocation,0.8142582901203591,0.8901773149451169,0.7581355349157207,0.05,0.8661050061050061,0.8730555555555556,0.862201582387341,0.05,0.05184671598464696,-0.017121759389561286,0.1040660474716203,6.36735500360898
leisure,CAR-based CN,0.8070370370370371,0.8655555555555555,0.7581355349157207,0.05,0.8511605954729895,0.8412280701754387,0.862201582387341,0.05,0.04412355843595239,-0.024327485380116864,0.1040660474716203,5.467352352561248
leisure,Cosine Similarity,0.7829156223893067,0.8132579185520361,0.7581355349157207,0.05,0.8434688772256831,0.8282706766917294,0.862201582387341,0.05,0.06055325483637641,0.015012758139693272,0.1040660474716203,7.734327058622907
leisure,Preferential Attachment,0.7906015037593985,0.8192408906882591,0.768077055383557,0.1,0.8394884898930037,0.7509264069264068,0.9566563467492261,0.05,0.048886986133605204,-0.06831448376185234,0.1885792913656691,6.183517979027184
leisure,Jaccard,0.8170104918492015,0.8904761904761905,0.7581355349157207,0.05,0.8382701927178253,0.8178065484567034,0.862201582387341,0.05,0.021259700868623832,-0.07266964201948711,0.1040660474716203,2.6021331522809477
leisure,Common Neighbors,0.7968239603533722,0.8501702219349279,0.7581355349157207,0.05,0.8331838969699751,0.806641604010025,0.862201582387341,0.05,0.03635993661660286,-0.04352861792490281,0.1040660474716203,4.563107840772634
lunch,Resource Allocation,0.9209271315397285,0.9272080200501254,0.9150574468304278,0.1,0.9262066581710762,0.943993713153743,0.9097942889356908,0.1,0.005279526631347675,0.01678569310361766,-0.0052631578947369695,0.5732838625296418
lunch,Cosine Similarity,0.901013377013377,0.9193022786852187,0.8846600247036822,0.25,0.9101792682867711,0.9878676470588236,0.8450142668915408,0.25,0.009165891273394067,0.06856536837360483,-0.03964575781214141,1.0172869245026421
lunch,Adamic-Adar,0.9161548438270414,0.9470370159669284,0.8885994098460749,0.15000000000000002,0.9055236957475763,0.9091285192349023,0.9057195860494429,0.1,-0.01063114807946508,-0.03790849673202601,0.01712017620336803,-1.1604095257407927
lunch,Sorensen Index,0.8783256971376463,0.8741563467492259,0.8846600247036822,0.25,0.9028188445208819,0.9110319563291126,0.8963747955016448,0.15000000000000002,0.024493147383235603,0.03687560957988667,0.01171477079796257,2.788617873787263
lunch,Common Neighbors,0.9113349263287465,0.9405405405405405,0.8845177771930137,0.15000000000000002,0.8990854334046201,0.9036929304910624,0.8963747955016448,0.1,-0.01224949292412636,-0.03684761004947812,0.011857018308631062,-1.3441263545257198
lunch,CAR-based CN,0.8880971659919027,0.8823553572106541,0.8951863404931558,0.1,0.8953420621895933,0.8857581453634085,0.907043358801787,0.1,0.007244896197690642,0.00340278815275441,0.011857018308631173,0.8157774255233825
lunch,Jaccard,0.8928297323069051,0.9022044105841257,0.8846600247036822,0.15000000000000002,0.8852926462308126,0.8709289434853345,0.9017802009070502,0.1,-0.007537086076092492,-0.031275467098791254,0.01712017620336803,-0.8441795565850939
lunch,Preferential Attachment,0.7002285007961736,0.5762829143722303,0.8972718257219834,0.15000000000000002,0.7206426619560554,0.5936996336996336,0.9301884053763751,0.1,0.020414161159881816,0.017416719327403296,0.032916579654391764,2.9153570775475655
work,Adamic-Adar,0.8472307692307692,0.7985136036770702,0.9058903401008663,0.05,0.8522233866996842,0.8231336509705003,0.8842541704383811,0.05,0.004992617468914995,0.024620047293430036,-0.021636169662485272,0.5892866087546232
work,Resource Allocation,0.7992381560932855,0.8111700627490102,0.7881562782878573,0.05,0.846659885101368,0.8528863334807607,0.8415082546661493,0.05,0.0474217290080825,0.04171627073175055,0.05335197637829203,5.933366499160754
work,CAR-based CN,0.8015016423820626,0.7823736263736265,0.8260894866158024,0.1,0.8314671782152073,0.8653315089476651,0.8017673175567912,0.1,0.029965535833144763,0.08295788257403858,-0.02432216905901119,3.738674288969456
work,Preferential Attachment,0.7758255571588905,0.7257117116116105,0.835211108237424,0.05,0.8247179218078087,0.7617708512308433,0.9032560670718566,0.05,0.04889236464891822,0.036059139619232794,0.06804495883443262,6.3019791229438695
work,Common Neighbors,0.7866144926783224,0.6621247083225303,0.9749374973059185,0.05,0.809701178953625,0.788089441357734,0.8359606017500754,0.1,0.023086686275302637,0.1259647330352036,-0.13897689555584314,2.9349429087888352
work,Cosine Similarity,0.8093785119872077,0.6939299680283287,0.9749374973059185,0.05,0.8059553709696055,0.6885580369451338,0.9749374973059185,0.05,-0.003423141017602216,-0.005371931083194892,0.0,-0.4229345067210512
work,Sorensen Index,0.7957186749786646,0.6799222881592234,0.9653654252338463,0.1,0.8003588496330432,0.6804406110939081,0.9749374973059185,0.05,0.004640174654378604,0.0005183229346846785,0.009572072072072224,0.5831426105363026
work,Jaccard,0.7865473940491585,0.662481009920796,0.9749374973059185,0.05,0.7825175674056141,0.6734632034632035,0.9386228932281565,0.05,-0.004029826643544454,0.010982193542407592,-0.03631460407776199,-0.5123437790933993
